Symbol: BVH, Buy Price: 41.4, Stop Loss: 40, Date: 2024-05-07 00:00:00
Symbol: ACB, Buy Price: 27.5, Stop Loss: 27, Date: 2024-05-03 00:00:00
Symbol: HPG, Buy Price: 30.15, Stop Loss: 29, Date: 2024-05-07 00:00:00
Symbol: MSN, Buy Price: 69.8, Stop Loss: 68.21, Date: 2024-05-07 16:05:33
Symbol: VNM, Buy Price: 68.0, Stop Loss: 66, Date: 2024-05-07 00:00:00
Symbol: SAB, Buy Price: 56.6, Stop Loss: 56.06, Date: 2024-05-07 16:05:33
Symbol: VJC, Buy Price: 113.4, Stop Loss: 109, Date: 2024-05-06 00:00:00
Symbol: PLX, Buy Price: 36.7, Stop Loss: 36, Date: 2024-05-06 00:00:00
Symbol: EVF, Buy Price: 14.2, Stop Loss: 13, Date: 2024-05-06 00:00:00
Symbol: FTS, Buy Price: 58.3, Stop Loss: 54, Date: 2024-05-06 00:00:00
Symbol: AGG, Buy Price: 23.2, Stop Loss: 22.79, Date: 2024-05-07 16:05:33
Symbol: TCH, Buy Price: 17.35, Stop Loss: 16, Date: 2024-05-06 00:00:00
Symbol: KHG, Buy Price: 5.55, Stop Loss: 5, Date: 2024-05-06 00:00:00
Symbol: LHG, Buy Price: 33.5, Stop Loss: 32, Date: 2024-05-06 00:00:00
Symbol: NTL, Buy Price: 43.6, Stop Loss: 41, Date: 2024-05-06 00:00:00
Symbol: SIP, Buy Price: 87.7, Stop Loss: 83, Date: 2024-05-06 00:00:00
Symbol: SZL, Buy Price: 40.0, Stop Loss: 39, Date: 2024-05-06 00:00:00
Symbol: BIC, Buy Price: 30.0, Stop Loss: 29.7, Date: 2024-05-07 16:05:34
Symbol: BMI, Buy Price: 24.1, Stop Loss: 23, Date: 2024-05-07 00:00:00
Symbol: BTP, Buy Price: 14.9, Stop Loss: 14.32, Date: 2024-05-07 16:05:34
Symbol: CHP, Buy Price: 30.0, Stop Loss: 29.81, Date: 2024-05-07 16:05:34
